iter	Passed	Remaining
415	2913	4090
416	2921	4084
417	2927	4076
418	2933	4068
419	2940	4061
420	2947	4053
421	2953	4045
422	2961	4039
423	2967	4031
424	2974	4023
425	2981	4016
426	2987	4008
427	2993	4000
428	3000	3993
429	3006	3985
430	3012	3977
431	3022	3973
432	3029	3967
433	3037	3961
434	3044	3954
435	3050	3946
436	3058	3939
437	3067	3936
438	3076	3931
439	3083	3923
440	3089	3916
441	3095	3908
442	3103	3901
443	3109	3893
444	3115	3885
445	3123	3879
446	3129	3871
447	3135	3863
448	3142	3856
449	3149	3848
450	3155	3840
451	3161	3832
452	3168	3825
453	3173	3817
454	3180	3809
455	3186	3801
456	3193	3794
457	3204	3792
458	3210	3784
459	3217	3776
460	3223	3769
461	3229	3761
462	3236	3754
463	3244	3747
464	3256	3746
465	3263	3740
466	3270	3732
467	3277	3725
468	3283	3717
469	3289	3709
470	3296	3702
471	3303	3695
472	3309	3687
473	3317	3680
474	3323	3673
475	3329	3665
476	3335	3657
477	3342	3650
478	3348	3642
479	3356	3636
480	3362	3628
481	3369	3620
482	3376	3614
483	3383	3606
484	3389	3599
485	3396	3592
486	3403	3584
487	3409	3577
488	3415	3569
489	3422	3562
490	3428	3554
491	3436	3547
492	3443	3541
493	3454	3538
494	3463	3533
495	3469	3525
496	3476	3518
497	3483	3511
498	3489	3503
499	3497	3497
500	3504	3490
501	3509	3481
502	3517	3475
503	3523	3468
504	3530	3460
505	3538	3454
506	3544	3446
507	3551	3439
508	3557	3431
509	3564	3424
510	3570	3416
511	3577	3410
512	3584	3402
513	3590	3394
514	3598	3388
515	3605	3381
516	3612	3375
517	3619	3368
518	3625	3360
519	3632	3353
520	3639	3346
521	3648	3340
522	3662	3339
523	3668	3332
524	3676	3326
525	3682	3318
526	3688	3310
527	3696	3304
528	3702	3296
529	3708	3288
530	3715	3281
531	3722	3274
532	3727	3266
533	3735	3260
534	3742	3252
535	3748	3244
536	3754	3237
537	3761	3230
538	3767	3222
539	3775	3215
540	3781	3208
541	3787	3200
542	3794	3193
543	3800	3186
544	3807	3178
545	3813	3171
546	3820	3164
547	3827	3156
548	3836	3151
549	3848	3148
550	3855	3141
551	3861	3134
552	3869	3127
553	3876	3120
554	3882	3112
555	3889	3106
556	3895	3098
557	3902	3091
558	3910	3084
559	3917	3077
560	3923	3069
561	3929	3062
562	3936	3055
563	3943	3048
564	3950	3041
565	3957	3034
566	3963	3026
567	3969	3019
568	3976	3012
569	3982	3004
570	3989	2997
571	3996	2990
572	4002	2982
573	4009	2975
574	4015	2968
575	4021	2960
576	4028	2953
577	4037	2947
578	4048	2943
579	4055	2936
580	4062	2929
581	4069	2922
582	4076	2915
583	4082	2908
584	4089	2901
585	4095	2893
586	4102	2886
587	4109	2879
588	4116	2872
589	4127	2868
590	4134	2861
591	4140	2853
592	4147	2846
593	4154	2839
594	4160	2832
595	4168	2825
596	4174	2818
597	4181	2810
598	4188	2803
599	4194	2796
600	4200	2788
601	4208	2782
602	4215	2775
603	4221	2767
604	4228	2760
605	4236	2754
606	4249	2751
607	4255	2743
608	4262	2736
609	4269	2729
610	4275	2722
611	4282	2715
612	4288	2707
613	4295	2700
614	4301	2692
615	4309	2686
616	4315	2678
617	4322	2671
618	4329	2664
619	4335	2657
620	4342	2650
621	4349	2643
622	4355	2635
623	4362	2628
624	4368	2621
625	4374	2613
626	4382	2607
627	4388	2599
628	4395	2592
629	4402	2585
630	4409	2578
631	4415	2571
632	4425	2566
633	4436	2561
634	4443	2554
635	4450	2546
636	4456	2539
637	4464	2533
638	4471	2526
639	4477	2518
640	4484	2511
641	4490	2504
642	4496	2496
643	4504	2489
644	4510	2482
645	4516	2475
646	4524	2468
647	4530	2461
648	4537	2453
649	4544	2446
650	4550	2439
651	4557	2432
652	4565	2425
653	4571	2418
654	4578	2411
655	4585	2404
656	4591	2397
657	4599	2390
658	4605	2383
659	4611	2375
660	4619	2368
661	4627	2362
662	4639	2358
663	4646	2351
664	4652	2343
665	4660	2337
666	4667	2330
667	4673	2322
668	4680	2315
669	4687	2308
670	4693	2301
671	4700	2294
672	4706	2286
673	4713	2279
674	4720	2272
675	4726	2265
676	4732	2257
677	4740	2251
678	4746	2244
679	4752	2236
680	4760	2229
681	4766	2222
682	4772	2215
683	4779	2208
684	4785	2200
685	4792	2193
686	4800	2186
687	4806	2179
688	4814	2173
689	4826	2168
690	4833	2161
691	4839	2154
692	4846	2147
693	4852	2139
694	4859	2132
695	4865	2125
696	4871	2117
697	4879	2111
698	4885	2103
699	4891	2096
700	4898	2089
701	4904	2082
702	4910	2074
703	4917	2067
704	4924	2060
705	4930	2053
706	4937	2046
707	4943	2038
708	4949	2031
709	4956	2024
710	4962	2017
711	4968	2009
712	4975	2002
713	4981	1995
714	4988	1988
715	4995	1981
716	5001	1974
717	5008	1966
718	5017	1961
719	5028	1955
720	5034	1948
721	5041	1941
722	5047	1933
723	5054	1926
724	5061	1919
725	5067	1912
726	5073	1905
727	5080	1898
728	5086	1890
729	5093	1883
730	5099	1876
731	5105	1869
732	5113	1862
733	5120	1855
734	5126	1848
735	5132	1841
736	5139	1833
737	5145	1826
738	5151	1819
739	5158	1812
740	5164	1805
741	5171	1798
742	5177	1791
743	5184	1783
744	5191	1777
745	5197	1769
746	5204	1762
747	5212	1755
748	5221	1749
749	5232	1744
750	5238	1736
751	5245	1729
752	5252	1722
753	5259	1715
754	5265	1708
755	5272	1701
756	5279	1694
757	5285	1687
758	5292	1680
759	5298	1673
760	5304	1665
761	5312	1659
762	5318	1651
763	5324	1644
764	5331	1637
765	5338	1630
766	5344	1623
767	5351	1616
768	5357	1609
769	5363	1602
770	5371	1595
771	5378	1588
772	5384	1581
773	5391	1574
774	5397	1567
775	5407	1560
776	5418	1555
777	5425	1548
778	5434	1541
779	5440	1534
780	5448	1527
781	5455	1520
782	5461	1513
783	5468	1506
784	5475	1499
785	5481	1492
786	5488	1485
787	5494	1478
788	5501	1471
789	5507	1464
790	5514	1457
791	5520	1449
792	5527	1442
793	5534	1435
794	5540	1428
795	5547	1421
796	5553	1414
797	5560	1407
798	5567	1400
799	5573	1393
800	5580	1386
801	5587	1379
802	5593	1372
803	5599	1365
804	5607	1358
805	5618	1352
806	5626	1345
807	5632	1338
808	5639	1331
809	5646	1324
